"id","parent_id","usuario_id","tipo_sigo_id","tipo_marca_id","clase_id","pais_id","numero_solicitud","nombre","numero_registro","fecha_registro","numero_renovacion","numero_publicacion","numero_gaceta","fecha_publicacion","fecha_importacion","activo","valido","importado","activa","created_at","updated_at","anterior","propia"
10246,0,1,1,1,5,,"3765-1994","ARUTRIN",,,,"66525","1936",31/05/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10247,0,1,1,1,5,,"0455-1995","B VIMIN","63389-C",10/04/1997,"69960-A","67346","1948",09/09/1996,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10248,0,1,1,1,5,,,"BABYNOS CARMINATIVOS","53794-C",02/10/1992,,"55687",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10249,0,1,1,1,5,,,"BILISAN","34929-C",23/06/1978,"73713-A","34830",,,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10056,0,1,1,1,5,,"1981-1992","FINDEDOL","56204-C",29/03/1994,"64295-A","58318","1813",17/12/1993,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10057,0,1,1,1,5,,"1288-1991","FLECTADOL","52737-C",28/01/1992,"60202-A","54895","1715",13/12/1991,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10058,0,1,1,1,5,,"1070-1987","FLEMEX","47159-C",29/04/1988,"72667-A","47994","1538",12/02/1988,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10059,0,1,5,1,5,,"1084-1988","FLEMEX Y ETIQUETA","48388-C",07/03/1989,"54820-A","49619","1574",09/01/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10060,0,1,1,1,5,,"4671-1997","FOLLITRIN","74121-C",10/08/1999,,"79569","2077",21/08/1998,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10061,0,1,1,1,5,,"2824-1996","FRENACOL","89070-C",20/01/2003,,"73926","1977",07/03/1997,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10062,0,1,1,1,5,,"2136-1998","FUNGEUM","76940-C",01/02/2000,,"82288","2131",19/04/2000,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10063,0,1,1,1,5,,"2125-1998","FUNGEX","76931-C",01/02/2000,,"82277","2131",19/04/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10064,0,1,1,1,5,,"2128-1998","FUNGYN","76933-C",01/02/2000,,"82280","2131",19/04/1999,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10065,0,1,1,1,5,,"0113-1989","FUNZAL","48748-C",19/06/1989,"55037-A","50248","1593",21/04/1989,07/08/2010,1,1,0,1,07/08/2010,07/08/2010,0,1
10066,0,1,1,1,5,,"2415-1996","GARCINOL - 666","68693-C",09/11/1998,,"73282","1967",17/01/1997,07/08/2010,0,1,0,0,07/08/2010,07/08/2010,0,1
